fat,sugar,sodium,grade
10.0,0.26,0.0,B
11.0,0.0,0.0,B
6.0,2.0,0.0,A
6.0,0.0,0.0,A
17.0,6.0,0.24,C
4.5,7.0,0.075,B
4.0,7.0,0.1,B
20.0,7.0,0.93,C
0.0,9.0,0.07,B
0.0,18.0,0.055,C
1.5,8.0,0.15,B
0.0,0.0,0.44,A
0.0,10.0,0.98,B
3.5,1.0,0.105,A
0.0,3.0,0.33,A
0.0,0.0,0.83,B
0.0,7.5,0.018,B
1.0,2.0,0.17,A
1.0,2.0,0.26,A
2.5,20.0,0.015,C
0.0,8.0,0.31,B
0.0,3.0,0.4,A
0.0,3.0,0.29,A
0.0,8.0,0.28,B
0.0,22.0,0.04,C
13.0,1.0,1.32,C
3.0,17.0,0.01,C
0.0,6.0,0.0,B
2.0,4.0,0.52,B
1.0,2.0,0.26,A
0.0,9.0,0.0,B
0.0,13.0,0.0,C
3.5,15.0,0.015,C
0.04,0.0,0.75,B
1.0,2.0,0.24,A
21.0,3.0,1.23,C
1.5,6.0,0.42,B
4.5,0.0,0.0,A
2.5,16.0,0.045,C
0.0,10.0,0.01,B
1.5,1.0,0.36,A
2.5,17.0,0.02,C
1.5,8.0,0.15,B
0.0,27.0,0.0,D
0.0,15.0,0.035,C
0.0,4.0,0.15,A
2.9,0.0,0.0,A
1.5,0.0,0.24,A
1.5,8.0,0.15,B
0.0,6.0,0.34,B
13.0,5.0,0.88,B
0.0,28.0,0.04,D
1.0,1.0,0.2,A
2.0,12.0,0.01,B
0.0,9.0,0.07,B
1.5,0.0,0.24,A
0.0,7.0,0.3,B
0.0,8.0,0.31,B
13.0,1.0,1.29,C
1.5,3.0,0.32,A
0.0,15.0,0.035,C
1.0,3.0,0.3,A
13.0,1.0,1.09,B
1.0,4.0,0.24,A
15.0,4.0,1.22,B
3.5,22.0,0.08,C
2.0,7.0,0.14,B
0.0,0.4,0.0,A
0.0,24.0,0.03,C
2.5,9.0,0.055,B
2.5,14.0,0.15,C
0.0,15.0,0.065,C
1.5,5.0,0.42,A
1.5,0.0,0.0,A
16.0,4.0,1.46,C
1.0,2.0,0.26,A
14.0,4.0,0.64,B
4.5,1.0,0.12,A
17.0,3.0,0.92,C
2.5,17.0,0.02,C
14.0,4.0,0.64,B
13.0,3.0,1.34,C
0.0,19.0,0.06,C
4.5,21.0,0.065,C
0.0,17.0,0.0,C
0.0,28.0,0.115,D
1.5,18.0,0.2,C
0.0,2.0,0.18,A
0.0,20.0,0.0,C
0.5,1.0,0.095,A
2.0,2.0,0.14,A
2.0,2.0,0.17,A
1.0,2.0,0.13,A
4.5,6.0,0.16,B
2.5,0.0,0.28,A
5.0,8.0,0.17,B
1.92,0.9,0.0,A
17.0,15.0,0.01,C
12.0,9.0,0.0,B
2.0,3.0,0.1,A
8.0,0.0,0.27,B
8.0,0.0,0.27,B
5.0,4.0,0.0,A
7.0,9.0,0.08,B
4.0,7.0,0.1,B
3.0,10.0,0.035,B
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
20.0,0.0,0.0,C
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
2.0,0.0,0.0,A
2.5,10.0,0.0,B
4.5,9.0,0.66,B
0.0,0.0,0.0,A
1.5,2.0,0.0,A
1.0,0.0,0.0,A
1.0,4.0,0.48,A
0.0,4.0,0.105,A
1.5,2.0,0.0,A
0.0,0.0,0.0,A
0.0,8.0,0.0,B
0.0,25.0,0.15,C
0.0,26.0,0.13,D
0.0,14.0,0.0,C
0.0,35.0,32.0,D
0.0,15.0,0.035,C
0.0,26.0,0.125,D
0.0,14.0,0.08,C
0.0,14.0,0.065,C
0.0,3.0,0.0,A
0.0,2.0,0.0,A
5.0,4.0,0.05,A
8.0,8.0,70.0,D
5.0,6.0,0.015,B
5.0,11.0,0.035,B
6.0,6.0,0.035,B
1.0,5.0,0.01,A
7.0,17.0,0.02,C
4.0,9.0,0.02,B
1.0,5.0,0.01,A
1.5,6.0,0.005,B
6.0,11.0,0.0,B
2.0,4.0,0.01,A
1.0,9.0,0.0,B
8.0,14.0,0.05,C
2.0,5.0,0.015,A
9.0,10.0,0.035,B
9.0,15.0,0.03,C
2.0,6.0,0.01,B
12.0,11.0,0.015,B
16.0,12.0,0.03,B
3.0,6.0,0.0,B
2.5,8.0,0.02,B
3.0,6.0,0.01,B
12.0,11.0,0.035,B
2.0,6.0,0.01,B
3.5,10.0,0.0,B
11.0,9.0,0.01,B
0.0,5.0,0.005,A
1.0,9.0,0.0,B
3.5,8.0,0.01,B
2.5,8.0,0.01,B
0.5,3.0,0.01,A
10.0,12.0,0.02,B
5.0,5.0,0.005,A
2.0,5.0,0.01,A
0.0,4.0,0.0,A
6.0,14.0,0.02,C
9.0,4.0,0.0,B
13.0,12.0,0.03,B
4.0,8.0,0.04,B
3.5,10.0,0.08,B
13.0,13.0,0.015,C
0.0,10.0,0.0,B
3.5,19.0,0.035,C
18.0,11.0,0.03,C
2.5,8.0,0.01,B
4.5,5.0,0.01,A
0.0,6.0,0.0,B
2.5,7.0,0.02,B
0.5,6.0,0.01,B
2.0,6.0,0.015,B
0.0,14.0,0.0,C
2.0,5.0,0.01,A
1.0,7.0,0.01,B
10.0,16.0,0.64,C
1.5,7.0,0.015,B
4.5,7.0,0.02,B
0.0,5.0,0.005,A
10.0,9.0,0.02,B
16.0,12.0,0.02,B
10.0,16.0,0.03,C
0.0,14.0,0.035,C
3.5,4.0,0.011,A
2.0,7.0,0.015,B
3.0,3.0,0.005,A
6.0,9.0,0.02,B
0.0,6.0,0.0,B
8.0,14.0,0.025,C
35.0,10.0,0.02,D
0.5,11.0,0.01,B
1.0,6.0,0.01,B
0.0,12.0,0.0,B
3.0,6.0,0.025,B
7.0,10.0,0.025,B
10.0,13.0,0.015,C
7.0,7.0,0.01,B
3.0,8.0,0.005,B
8.0,8.0,0.055,B
0.0,10.0,0.0,B
2.5,9.0,0.025,B
8.0,6.0,0.01,B
2.0,5.0,0.01,A
2.0,5.0,0.016,A
2.5,9.0,0.005,B
10.0,13.0,0.01,C
1.0,6.0,0.005,B
3.5,4.0,0.005,A
3.5,8.0,0.025,B
2.0,7.0,0.015,B
4.5,5.0,0.01,A
1.0,5.0,0.01,A
4.5,10.0,0.025,B
4.5,10.0,0.025,B
4.0,12.0,0.01,B
6.0,11.0,0.025,B
0.0,15.0,0.01,C
1.0,7.0,0.015,B
0.5,13.0,0.0,C
2.0,6.0,0.01,B
3.5,9.0,0.02,B
1.5,4.0,0.01,A
1.0,5.0,0.0,A
6.0,9.0,0.02,B
3.5,7.0,0.015,B
5.0,5.0,0.01,A
4.0,5.0,0.01,A
0.5,3.0,0.01,A
3.0,14.0,0.035,C
6.0,24.0,0.08,C
6.0,22.0,0.125,C
3.0,12.0,0.0,B
4.0,1.0,0.115,A
4.5,1.0,0.07,A
3.0,5.0,0.055,A
1.0,0.0,0.05,A
3.5,2.0,0.055,A
6.0,5.0,0.26,A
1.0,0.0,0.035,A
3.0,3.0,0.0,A
8.0,11.0,0.15,B
8.0,5.0,0.045,B
9.0,4.0,0.17,B
4.0,1.0,0.16,A
3.5,1.0,0.11,A
15.0,4.0,1.09,B
0.0,1.0,0.36,A
4.5,2.0,0.0,A
0.0,0.0,0.36,A
10.0,3.0,0.28,B
0.0,2.0,0.61,B
0.0,1.0,0.56,B
3.5,0.0,0.43,A
2.0,15.0,0.0,C
2.5,14.0,0.06,C
15.0,4.0,1.09,B
2.5,16.0,0.125,C
14.0,5.0,0.97,B
19.0,0.0,0.61,C
4.2,4.4,0.023,A
3.5,1.0,0.05,A
3.5,1.0,0.045,A
2.5,2.0,0.015,A
3.0,3.0,0.005,A
4.5,1.0,0.025,A
13.5,3.0,0.075,B
1.0,16.0,0.01,C
2.0,1.0,0.0,A
0.0,1.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
11.0,1.0,0.16,B
0.15,6.2,0.001,B
4.0,21.0,0.015,C
0.89,0.35,0.301,A
7.0,11.0,0.0,B
10.0,12.0,0.18,B
3.5,10.0,0.02,B
0.0,0.0,0.33,A
10.0,12.0,0.18,B
7.6,0.0,0.0,B
10.0,12.0,0.18,B
15.0,0.0,0.12,B
7.0,11.0,0.0,B
7.0,0.0,0.0,B
6.53,0.0,0.0,A
7.0,0.0,0.15,B
0.0,2.0,0.0,A
0.0,5.0,0.0,A
0.0,2.0,0.0,A
0.0,5.0,0.025,A
0.0,4.0,0.02,A
0.0,71.0,0.0,D
1.0,5.0,0.005,A
1.0,5.0,0.005,A
7.0,0.0,0.08,B
19.0,25.0,0.105,C
5.3,0.5,0.006,A
4.0,0.0,0.27,A
81.4,0.6,0.6,D
12.0,0.0,0.0,B
4.5,12.0,0.064,B
35.5,3.1,0.027,D
3.5,14.0,0.05,C
34.2,2.0,0.284,D
3.5,0.0,0.2,A
